#,References,Value,Footprint,Datasheet,Description,Manufacturer,Manufacturer P/N,Vendor,Vendor P/N,Quantity
1,"C1, C2, C6, C9, C10, C11, C12, C14, C15, C16, C19",100nF,C_0402_1005Metric,https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL05A104KA5NNNC.pdf,CAP CER 0.1UF 25V X5R 0402,Samsung Electro-Mechanics,CL05A104KA5NNNC,Digi-key,1276-1043-2-ND,11
2,"C4, C5, C17",4.7uF,C_0603_1608Metric,https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL10A475KP8NNNC_Spec.pdf,CAP CER 4.7UF 10V X5R 0603,Samsung Electro-Mechanics,CL10A475KP8NNNC,Digi-key,1276-1044-2-ND,3
3,"C7, C13, C18",10uF,C_0603_1608Metric,https://www.samsungsem.com/kr/support/product-search/mlcc/CL10X106MO8NRNC.jsp,CAP CER 10UF 16V X6S 0603,Samsung Electro-Mechanics,CL10X106MO8NRNC,Digi-key,1276-6769-2-ND,3
4,C3,22nF,C_0402_1005Metric,https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL05B223KP5NNNC_Spec.pdf,CAP CER 0.022UF 10V X7R 0402,Samsung Electro-Mechanics,CL05B223KP5NNNC,Digi-key,1276-1538-2-ND,1
5,C8,56nF,C_0402_1005Metric,https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_20.pdf,CAP CER 0.056UF 16V X7R 0402,YAGEO,CC0402KRX7R7BB563,Digi-key,311-3805-2-ND,1
6,"R5, R7, R14",10K,R_0402_1005Metric,https://fscdn.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/esr-e.pdf,RES SMD 10K OHM 5% 1/5W 0402,Rohm Semiconductor,ESR01MZPJ103,Digi-key,RHM1003TR-ND,3
7,"R6, R11, R12",dnp,R_0402_1005Metric,,Do not place,,,,,3
8,"R9, R10, R13",0R,R_0402_1005Metric,https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,RES 0 OHM JUMPER 1/16W 0402,Stackpole Electronics Inc,RMCF0402ZT0R00,Digi-key,RMCF0402ZT0R00TR-ND,3
9,"R1, R3",50R,R_0402_1005Metric,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AC_51_RoHS_L_8.pdf,RES SMD 50 OHM 5% 1/16W 0402,YAGEO,AC0402JR-0750RL,Digi-key,13-AC0402JR-0750RLTR-ND,2
10,"R2, R4",180R,R_0402_1005Metric,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773204-3&DocType=DS&DocLang=English,RES 180 OHM 1% 1/16W 0402,TE Connectivity Passive Product,CRGCQ0402F180R,Digi-key,A129618TR-ND,2
11,R8,100K,R_0402_1005Metric,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773200&DocType=DS&DocLang=English,RES SMD 100K OHM 0.1% 1/16W 0402,TE Connectivity Passive Product,CPF0402B100KE1,Digi-key,A102574TR-ND,1
12,L1,2.2u,L_0805_2012Metric,https://search.murata.co.jp/Ceramy/image/img/P02/J(E)TE243A-0029_DFE201210U_reference.pdf,2.2 µH Shielded Wirewound Inductor 1.2 A 228mOhm Max 0805 (2012 Metric) -,Murata Electronics,DFE201210U-2R2M=P2,Digi-key,490-16592-2-ND,1
13,D1,LED,D_0603_1608Metric,https://media.digikey.com/pdf/Data%20Sheets/Harvatek%20PDFs/B18W1USD-20C000214U1930%20%20V1.2.pdf,LED SINGLE COLOR RED (1.6(L)X0.8,Harvatek Corporation,B18W1USD-20C000214U1930,Digi-key,3147-B18W1USD-20C000214U1930TR-ND,1
14,"U5, U6",DRV8837CDSGR,SON50P200X200X80-9N,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fdrv8837c,IC HALF-BRIDGE DRVR PWM 8WSON,Texas Instruments,DRV8837CDSGR,Digi-key,296-47205-2-ND,2
15,U1,B38G3RGB,B38G3RGB10D0003H2U1930,https://media.digikey.com/pdf/Data%20Sheets/Harvatek%20PDFs/B38G3RGB-10D0003H2U1930%20%20V1.9.pdf,"Red, Green, Blue (RGB) - LED Indication - Discrete 2V Red, 3V Green, 3V Blue 0606 (1616 Metric)",Harvatek Corporation,B38G3RGB-10D0003H2U1930,Digi-key,3147-B38G3RGB-10D0003H2U1930TR-ND,1
16,U2,BUCK,LM3671TLX-3.3&slash_NOPB,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Flm3671,"Buck Switching Regulator IC Positive Fixed 3.3V 1 Output 600mA 5-WFBGA, DSBGA",Texas Instruments,LM3671TLX-3.3/NOPB,Digi-key,LM3671TLX-3.3/NOPBTR-ND,1
17,U3,LTC4124,LTC4124EV-TRMPBF,https://www.analog.com/media/en/technical-documentation/data-sheets/ltc4124.pdf,Wireless Charging ICs 100mA Wireless Li-Ion Charger,Analog Devices,LTC4124EV#TRMPBF,Mouser,584-LTC4124EV#TRMPBF,1
18,U4,MAX17048G+T10,SON50P200X200X80-9N,https://datasheets.maximintegrated.com/en/ds/MAX17048-MAX17049.pdf,IC BATT MON LI-ION 1CELL 8TDFN,Analog Devices Inc./Maxim Integrated,MAX17048G+T10,Digi-key,MAX17048G+T10TR-ND,1
19,U7,MC3419,LGA-12_2x2mm_P0.5mm,https://www.mouser.com/datasheet/2/821/MEMSIC_MC3419_Datasheet-1889799.pdf,Accelerometers Small Digital 3-axis Accelerometer Sensor,MEMSIC,MC3419,Mouser,498-MC3419,1
20,U8,ISP1807-LR-RS,ISP1807-LR-RS,https://www.insightsip.com/fichiers_insightsip/pdf/ble/ISP1807/isp_ble_DS1807.pdf,"Bluetooth Bluetooth v5.0, Thread, Zigbee® Transceiver Module 2.402GHz ~ 2.48GHz Integrated, Trace Surface Mount",Insight SIP,ISP1807-LR-RS,Digi-key,1786-1019-2-ND,1
21,U9,MAX98357A,Maxim_WLP-9_1.595x1.415_Layout3x3_P0.4mm_Ball0.27mm_Pad0.25mm_NSMD,https://datasheets.maximintegrated.com/en/ds/MAX98357A-MAX98357B.pdf,IC AMP CLASS D MONO 3.2W 9WLP,Analog Devices Inc./Maxim Integrated,MAX98357AEWL+T,Digi-key,MAX98357AEWL+TTR-ND,1
22,"MK1, MK2",ICS-41352,MIC_ICS-41350,https://invensense.tdk.com/wp-content/uploads/2016/10/DS-000048-ICS-41352-data-sheet-v1.0.pdf?ref_disty=digikey,Bottom Port PDM Low Power muti-Mode Microphone with high AOP Mode,TDK-InvenSense,ICS-41352,Digi-key,1428-ICS-41352TR-ND,2
23,S1,450302014072,450302014072,http://www.farnell.com/datasheets/1913864.pdf,Through Hole Slide Switch SPDT On-On 100 mA@ 42 V dc Slide,Wurth Elektronik,450302014072,Mouser,710-450302014072,1
24,SP1,SPEAKER,CUI_CMT-4023S-SMT-TR,https://www.puiaudio.com/media/SpecSheet/SMT-0440-T-HT-R.pdf,"Buzzers Transducer, Externally Driven Electromechanical/Magnetic 3 V 100mA 4kHz 70dB @ 3V, 10cm Surface Mount Solder Pads","PUI Audio, Inc.",SMT-0440-T-HT-R,Digi-key,668-SMT-0440-T-HT-RTR-ND,1
25,J1,10118194-0001LF,AMPHENOL_10118194-0001LF,https://cdn.amphenol-icc.com/media/wysiwyg/files/documentation/datasheet/inputoutput/io_usb_micro.pdf,"USB - micro B USB 2.0 Receptacle Connector 5 Position Surface Mount, Right Angle; Through Hole",Amphenol ICC (FCI),10118194-0001LF,Digi-key,609-4618-2-ND,1
26,J2,FTMH-106-03-L-DV,SAMTEC_FTMH-106-03-L-DV,https://www.mouser.com/datasheet/2/527/ftmh_sm-2854321.pdf,Board to Board & Mezzanine Connectors 1.00 mm Surface Mount Micro Terminal Strip,Samtec,FTMH-106-03-L-DV,Mouser,200-FTMH10603LDV,1
27,P1,BATT_TERM,JST_ACH_BM02B-ACHSS-GAN-ETF_1x02-1MP_P1.20mm_Vertical,https://www.jst-mfg.com/product/pdf/eng/eACH.pdf,"Connector Header Surface Mount, Right Angle 2 position 0.047"" (1.20mm)",JST Sales America Inc.,BM02B-ACHSS-GAN-ETF(LF)(SN,Digi-key,455-3277-2-ND,1
28,P3,M2_TERM,PinHeader_1x02_P1.27mm_Vertical,,Do not place,,,,,1
29,P4,M1_TERM,PinHeader_1x02_P1.27mm_Vertical,,Do not place,,,,,1
